name2	S	ThetaW	ThetaPi	ThetaH	TajD	seqbp
AC147602.5_FG002	8	1.70045	1.93007	2.26707	0.355268	338
AC147602.5_FG003	6	1.26558	2.08647	2.29826	1.57404	161
AC147602.5_FG004	7	1.47243	2.17005	0.643128	1.19392	117
AC147602.5_FG005	15	3.16323	3.05985	8.61415	-0.0966204	623
AC148152.3_FG001	2	0.416328	0.140951	0.000414079	-1.09615	371
AC148152.3_FG005	7	1.47819	1.42581	1.17199	-0.0896374	243
AC148152.3_FG006	4	0.914122	1.50301	1.80327	1.50173	181
AC148152.3_FG008	35	7.37206	10.749	11.7333	1.49804	429
AC148167.6_FG001	17	3.57076	5.30902	3.85774	1.46152	250
AC149475.2_FG002	10	2.08037	1.94625	2.70049	-0.174458	115
AC149475.2_FG003	11	2.29945	3.1749	2.88088	1.05542	185
AC149475.2_FG005	51	10.6904	14.0357	12.338	1.04669	1017
AC149475.2_FG007	1	0.211494	0.0907738	NA	-0.71999	108
AC149633.4_FG002	2	0.424429	0.41321	0.127513	-0.0446568	430
AC149633.4_FG005	6	1.25823	1.69105	2.32013	0.829927	112
AC149810.2_FG008	7	1.479	1.02696	0.0184303	-0.773633	252
AC149818.2_FG001	3	0.64954	0.879766	0.596228	0.710491	119
AC149818.2_FG004	3	0.633226	1.10379	NA	1.45219	56
AC149818.2_FG005	3	0.631961	0.474713	NA	-0.485277	146
AC149818.2_FG006	5	1.067	1.84263	2.06581	1.69485	110
AC149818.2_FG007	0	0	0	NA	NA	208
AC149818.2_FG008	21	4.40414	5.24713	3.14018	0.590699	364
AC149818.2_FG009	7	1.50733	1.49781	NA	-0.0163049	141
AC149828.2_FG002	4	0.83656	1.2991	0.3205	1.17954	148
AC149828.2_FG003	1	0.207531	0.0285714	NA	-1.06734	105
AC149829.2_FG002	1	0.216029	0.266788	NA	0.302732	65
AC149829.2_FG003	4	0.925397	1.50827	0.431506	1.48638	121
AC149829.2_FG004	2	0.430474	0.639146	NA	0.830627	109
AC149829.2_FG006	10	2.09214	2.3806	2.33689	0.375205	299
AC150739.3_FG001	7	1.47111	2.43047	3.26951	1.64188	354
AC152495.1_FG002	1	0.241151	0.385714	0.128571	0.862194	96
AC152495.1_FG010	1	0.229885	0.0454545	NA	-1.09997	46
AC152495.1_FG011	0	0	0	NA	NA	13
AC152495.1_FG012	1	0.227534	0.162319	NA	-0.388951	396
AC152495.1_FG018	0	0	0	0	NA	175
AC155352.2_FG001	1	0.241151	0.203175	NA	-0.226495	4
AC155363.2_FG006	6	1.26041	2.34372	2.80041	2.07721	129
AC155376.2_FG005	9	1.89725	2.699	2.31359	1.13277	240
AC155377.1_FG001	32	6.74234	8.15896	23.4314	0.68192	961
AC155377.1_FG002	4	0.83524	0.700019	1.97478	-0.344828	269
AC155390.2_FG002	5	1.07931	1.63009	2.77134	1.20353	112
AC155417.2_FG009	13	2.7121	4.82771	6.89234	2.22677	254
AC155434.2_FG001	9	1.8863	2.81434	0.419675	1.3112	194
AC155434.2_FG004	41	8.63995	5.0313	11.882	-1.38386	1212
AC155434.2_FG005	5	1.05082	1.16723	0.0158033	0.254365	261
AC155434.2_FG006	10	2.09227	2.49396	1.97897	0.522493	338
AC155434.2_FG007	2	0.424825	0.611577	NA	0.743371	128
AC155434.2_FG009	0	0	0	NA	NA	6
AC155496.2_FG008	5	1.05397	1.6081	1.08945	1.21085	370
AC155610.2_FG004	2	0.422988	0.618552	1.69891	0.778446	125
AC155610.2_FG005	1	0.208796	0.163301	0.0158033	-0.27134	181
AC155610.2_FG007	5	1.04932	1.12845	0.487934	0.172918	245
AC155610.2_FG009	1	0.212935	0.228451	NA	0.0925353	50
AC155622.2_FG001	8	1.67978	1.96978	1.20018	0.448684	271
AC155624.2_FG006	7	1.47645	1.37284	0.0534528	-0.177312	243
AC155624.2_FG007	5	1.07649	1.9629	0.704743	1.93691	275
AC155624.2_FG010	5	1.10255	0.925458	0.217672	-0.386959	193
AC155624.2_FG011	0	0	0	0	NA	193
AC159612.1_FG007	4	0.841964	1.09622	NA	0.648375	229
AC159612.1_FG008	14	2.9475	3.79647	5.10504	0.840484	212
AC165171.2_FG002	5	1.05214	1.50535	NA	0.990333	237
AC165171.2_FG003	10	2.09972	4.38972	4.53783	2.97869	307
AC165171.2_FG004	3	0.635287	1.09132	0.352063	1.40734	219
AC165178.2_FG004	4	0.862856	0.92556	0.342938	0.159903	113
AC166636.1_FG007	0	0	0	NA	NA	134
AC166636.1_FG008	3	0.658744	0.630804	2.91376	-0.0862245	38
AC166636.1_FG010	6	1.27569	2.53515	2.97986	2.41499	370
AC177833.2_FG001	1	0.225329	0.510638	NA	1.70162	52
AC177860.4_FG002	1	0.217694	0.498701	NA	1.67596	17
AC177870.3_FG006	2	0.429563	0.848153	NA	1.66621	119
AC177893.3_FG003	0	0	0	NA	NA	131
AC177894.2_FG007	21	4.40124	5.67013	8.40379	0.889135	232
AC177897.2_FG002	4	0.838051	1.06059	3.90697	0.567509	234
AC177897.2_FG011	7	1.4676	2.70244	0.688639	2.11334	208
AC177899.2_FG009	4	0.840644	1.46887	1.28681	1.60205	510
AC177899.2_FG012	2	0.457419	0.558597	0	0.402742	95
AC177908.3_FG002	11	2.32517	1.83544	4.80753	-0.590404	304
AC177924.2_FG001	3	0.646658	0.515559	NA	-0.404581	129
AC177924.2_FG003	1	0.212935	0.389212	NA	1.05134	79
AC177926.2_FG003	21	4.45318	5.5803	4.54214	0.789798	130
AC177941.3_FG006	0	0	0	NA	NA	172
AC182418.6_FG009	10	2.09341	2.35734	2.65289	0.343309	96
AC182418.6_FG010	11	2.30485	2.43001	4.81415	0.150887	176
AC182482.3_FG003	21	4.41354	4.95438	7.94547	0.378976	326
AC182617.3_FG001	2	0.42738	0.285581	2.0095	-0.564436	258
AC183315.4_FG006	11	2.39976	2.77612	1.5619	0.453725	144
AC183412.5_FG005	2	0.423241	0.445787	NA	0.0897437	634
AC183514.3_FG006	1	0.216029	0.0998185	NA	-0.693092	50
AC183888.4_FG006	8	1.69992	1.68514	0.0306909	-0.0228653	113
AC183932.3_FG007	30	6.2863	10.3397	7.52363	2.06868	405
AC183938.4_FG011	0	0	NA	NA	NA	NA
AC183950.2_FG001	6	1.27695	2.12329	2.12973	1.62284	148
AC183950.2_FG003	2	0.43714	0.396063	0.0251572	-0.16351	135
AC183950.2_FG004	9	1.89993	2.26592	4.08316	0.517098	397
AC183950.2_FG005	2	0.438264	1.01033	0.866896	2.27712	350
AC184112.4_FG010	1	0.212935	0.0634585	NA	-0.891497	171
AC184130.4_FG005	5	1.06423	1.72364	0.988278	1.44089	158
AC184130.4_FG012	7	1.515	2.22456	1.30776	1.21435	188
AC184164.2_FG004	6	1.29217	2.26542	NA	1.86617	109
AC184164.2_FG006	8	1.69831	2.25805	NA	0.866035	90
AC184169.3_FG001	0	0	0	0	NA	131
AC184172.3_FG001	0	0	0	0	NA	50
AC184699.3_FG005	12	2.68153	3.02802	0.00951374	0.389364	169
AC184764.3_FG003	0	0	0	NA	NA	84
AC184794.2_FG003	1	0.208796	0.0294118	0.000438982	-1.06987	354
AC184839.3_FG002	4	0.832656	0.246401	5.92751	-1.49501	294
AC185108.3_FG010	3	0.654834	0.356518	NA	-0.920625	32
AC185108.3_FG011	5	1.05595	1.18615	0.0667252	0.284499	124
AC185130.2_FG004	3	0.675331	1.31161	NA	1.96361	30
AC185130.2_FG005	0	0	0	NA	NA	19
