Gene,Chr,Pos,. Genotypes
AC148167.6_FG001,7,11667402,2
AC149475.2_FG002,9,152486380,4
AC149475.2_FG003,9,152490669,3
AC149475.2_FG005,9,152533664,4
AC149475.2_FG007,9,152556478,4
AC149818.2_FG001,9,152415071,3
AC149818.2_FG004,9,152437048,3
AC149818.2_FG005,9,152441666,4
AC149818.2_FG006,9,152443100,4
AC149818.2_FG007,9,152454911,1
AC149818.2_FG008,9,152460369,4
AC149818.2_FG009,9,152481096,1
AC149828.2_FG002,9,150419405,1
AC149829.2_FG002,9,151116541,2
AC149829.2_FG003,9,151118711,4
AC149829.2_FG006,9,151149581,3
AC150739.3_FG001,9,155183038,1
AC155376.2_FG004,8,164137657,5
AC155376.2_FG005,8,164177368,4
AC155377.1_FG001,3,220887490,3
AC155377.1_FG002,3,220984058,2
AC155434.2_FG004,7,173827822,1
AC155434.2_FG006,7,173807634,2
AC155496.2_FG009,5,4777052,3
AC155610.2_FG009,3,175701362,3
AC155622.2_FG001,3,4444508,3
AC155622.2_FG004,3,4447676,3
AC155624.2_FG006,1,8265637,2
AC159612.1_FG007,5,4584017,2
AC166636.1_FG007,1,19972414,1
AC166636.1_FG008,1,19982598,3
AC177850.2_FG003,1,18144142,1
AC177850.2_FG005,1,18199903,2
AC177897.2_FG002,1,260137809,1
AC177899.2_FG009,1,300444421,4
AC177905.2_FG003,1,115616931,1
AC177908.3_FG002,1,72799972,4
AC177936.6_FG008,1,285647390,4
AC177946.2_FG004,1,19104587,3
AC182482.3_FG003,3,23009537,3
AC182617.3_FG001,3,127309620,1
AC182838.3_FG006,3,190509863,1
AC183315.4_FG006,3,28222301,2
AC183932.3_FG007,5,5576330,2
AC183950.2_FG004,8,163214847,2
AC183950.2_FG005,8,163218378,3
AC183968.2_FG001,4,241402727,1
AC184130.4_FG012,4,235228490,1
AC184169.3_FG001,4,26794225,2
AC185226.4_FG001,4,162584196,3
AC185300.4_FG002,4,228011681,2
AC185588.2_FG002,1,297181506,2
AC186147.3_FG008,4,162908430,2
AC187157.4_FG002,8,22681012,4
AC187157.4_FG005,8,22641557,2
AC187207.3_FG006,1,13369437,1
AC187262.4_FG007,1,184700261,1
AC187263.4_FG001,8,24766694,1
AC187551.3_FG002,8,94438245,3
AC187567.4_FG004,6,131465682,2
AC188003.3_FG012,4,1078604,3
AC188023.3_FG005,6,165316827,5
AC188036.3_FG003,10,82151914,1
AC188838.3_FG005,6,150659247,4
AC189750.4_FG004,7,152351926,2
AC190609.3_FG002,4,194341420,4
AC190609.3_FG003,4,194342579,2
AC190609.3_FG004,4,194405655,2
AC190623.3_FG001,3,192033974,3
AC190628.4_FG007,4,181786392,4
AC190750.2_FG014,2,3001773,1
AC190788.2_FG004,2,199693535,4
AC190788.2_FG005,2,199691677,1
AC190792.2_FG006,2,1309877,2
AC190841.2_FG007,2,229413756,2
AC190933.3_FG004,3,16614831,2
AC190999.2_FG004,2,183937863,4
AC191009.3_FG004,1,298501327,2
AC191069.3_FG004,8,37658206,3
AC191097.3_FG007,4,195326531,2
AC191113.2_FG002,2,6355125,1
AC191246.3_FG006,5,172931629,3
AC191251.3_FG005,5,4975303,4
AC191360.3_FG004,4,238406693,1
AC191534.3_FG003,7,27669417,3
AC191676.3_FG011,5,15546960,2
AC191771.3_FG008,5,60600723,1
AC191804.4_FG002,5,153141164,1
AC192244.3_FG001,5,76210358,2
AC192244.3_FG007,5,76217286,4
AC192362.3_FG002,1,230122926,1
AC192362.3_FG003,1,230121291,1
